Time,Open,High,Low,Close,Volume
2024-03-22 14:00:00+00:00,1.08295,1.08317,1.08149,1.0815,3653.0
2024-03-22 15:00:00+00:00,1.0815,1.08219,1.08104,1.08158,3322.0
2024-03-22 16:00:00+00:00,1.08158,1.0817,1.08058,1.08059,2452.0
2024-03-22 17:00:00+00:00,1.08059,1.08107,1.08049,1.08061,1965.0
2024-03-22 18:00:00+00:00,1.08061,1.08078,1.08041,1.08042,1354.0
2024-03-22 19:00:00+00:00,1.08042,1.08068,1.08018,1.08058,1272.0
2024-03-22 20:00:00+00:00,1.08058,1.08099,1.0805,1.08077,1298.0
2024-03-24 21:00:00+00:00,1.08077,1.08108,1.08077,1.08088,140.0
2024-03-24 22:00:00+00:00,1.08088,1.08088,1.08052,1.08087,413.0
2024-03-24 23:00:00+00:00,1.08087,1.081,1.08067,1.08074,948.0
2024-03-25 00:00:00+00:00,1.08074,1.08099,1.08026,1.08035,2251.0
2024-03-25 01:00:00+00:00,1.08035,1.082,1.08021,1.0817,3518.0
2024-03-25 02:00:00+00:00,1.0817,1.08223,1.08158,1.08218,2030.0
2024-03-25 03:00:00+00:00,1.08218,1.08218,1.08117,1.08136,2145.0
2024-03-25 04:00:00+00:00,1.08136,1.08142,1.08107,1.08133,1405.0
2024-03-25 05:00:00+00:00,1.08133,1.08224,1.08124,1.08223,1658.0
2024-03-25 06:00:00+00:00,1.08223,1.08223,1.08166,1.08176,1694.0
2024-03-25 07:00:00+00:00,1.08176,1.0823,1.08138,1.08139,2363.0
2024-03-25 08:00:00+00:00,1.08139,1.08238,1.08072,1.0814,2821.0
2024-03-25 09:00:00+00:00,1.0814,1.08216,1.08116,1.08177,1889.0
2024-03-25 10:00:00+00:00,1.08177,1.0822,1.08165,1.0818,2212.0
2024-03-25 11:00:00+00:00,1.0818,1.08296,1.08164,1.08286,1817.0
2024-03-25 12:00:00+00:00,1.08286,1.08341,1.0828,1.08307,3050.0
2024-03-25 13:00:00+00:00,1.08307,1.0838,1.08292,1.08351,3030.0
2024-03-25 14:00:00+00:00,1.08351,1.08426,1.08339,1.08391,3397.0
2024-03-25 15:00:00+00:00,1.08391,1.08392,1.08316,1.08368,2449.0
2024-03-25 16:00:00+00:00,1.08368,1.08384,1.08331,1.08366,1936.0
2024-03-25 17:00:00+00:00,1.08366,1.0838,1.08333,1.08366,1714.0
2024-03-25 18:00:00+00:00,1.08366,1.08373,1.0835,1.0836,1273.0
2024-03-25 19:00:00+00:00,1.0836,1.084,1.08358,1.08392,1298.0
2024-03-25 20:00:00+00:00,1.08392,1.0841,1.08357,1.08375,987.0
2024-03-25 21:00:00+00:00,1.08375,1.08378,1.08354,1.08368,5268.0
2024-03-25 22:00:00+00:00,1.08368,1.08385,1.08367,1.08371,551.0
2024-03-25 23:00:00+00:00,1.08371,1.08386,1.08364,1.0837,472.0
2024-03-26 00:00:00+00:00,1.0837,1.08429,1.08361,1.08427,1127.0
2024-03-26 01:00:00+00:00,1.08427,1.08459,1.08388,1.08405,2295.0
2024-03-26 02:00:00+00:00,1.08405,1.08444,1.08398,1.08427,1482.0
2024-03-26 03:00:00+00:00,1.08427,1.08443,1.08359,1.08368,1191.0
2024-03-26 04:00:00+00:00,1.08368,1.08414,1.08366,1.08403,979.0
2024-03-26 05:00:00+00:00,1.08403,1.08484,1.08398,1.08472,1254.0
2024-03-26 06:00:00+00:00,1.08472,1.08522,1.08463,1.08508,1489.0
2024-03-26 07:00:00+00:00,1.08508,1.0853,1.08398,1.08424,2688.0
2024-03-26 08:00:00+00:00,1.08424,1.08516,1.08387,1.08495,3137.0
2024-03-26 09:00:00+00:00,1.08495,1.0856,1.08455,1.08538,3243.0
2024-03-26 10:00:00+00:00,1.08538,1.08644,1.08528,1.08552,3150.0
2024-03-26 11:00:00+00:00,1.08552,1.086,1.08533,1.0857,2806.0
2024-03-26 12:00:00+00:00,1.0857,1.08594,1.08488,1.08521,4009.0
2024-03-26 13:00:00+00:00,1.08521,1.08586,1.08468,1.0853,3974.0
2024-03-26 14:00:00+00:00,1.0853,1.0855,1.0838,1.08412,4161.0
2024-03-26 15:00:00+00:00,1.08412,1.08444,1.08253,1.08282,3454.0
2024-03-26 16:00:00+00:00,1.08282,1.08323,1.08244,1.08284,2443.0
2024-03-26 17:00:00+00:00,1.08284,1.08358,1.08268,1.08305,1947.0
2024-03-26 18:00:00+00:00,1.08305,1.08349,1.08298,1.08328,1677.0
2024-03-26 19:00:00+00:00,1.08328,1.0835,1.08286,1.08287,1785.0
2024-03-26 20:00:00+00:00,1.08287,1.0832,1.08284,1.08312,1088.0
2024-03-26 21:00:00+00:00,1.08312,1.0833,1.08312,1.08325,1948.0
2024-03-26 22:00:00+00:00,1.08325,1.0834,1.0832,1.08328,488.0
